"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 16 11:16:21 MSK 2025","Mon Jun 16 11:16:23 MSK 2025","1697","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationClassic","smoke.test.Registration.RegistrationClassic","loadPage","loadPage",""
"passed","Mon Jun 16 11:16:23 MSK 2025","Mon Jun 16 11:16:23 MSK 2025","126","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationClassic","smoke.test.Registration.RegistrationClassic","auth","auth",""
"passed","Mon Jun 16 11:17:23 MSK 2025","Mon Jun 16 11:17:25 MSK 2025","2101","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationComparisonFields","smoke.test.Registration.RegistrationComparisonFields","examinationStep_3","examinationStep_3",""
"passed","Mon Jun 16 11:16:29 MSK 2025","Mon Jun 16 11:16:32 MSK 2025","3150","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationClassic","smoke.test.Registration.RegistrationClassic","step_7","step_7",""
"passed","Mon Jun 16 11:16:59 MSK 2025","Mon Jun 16 11:17:00 MSK 2025","661","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationMandatoryFields","smoke.test.Registration.RegistrationMandatoryFields","step_7","step_7",""
"passed","Mon Jun 16 11:16:24 MSK 2025","Mon Jun 16 11:16:24 MSK 2025","363","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationClassic","smoke.test.Registration.RegistrationClassic","clearFields","clearFields",""
"passed","Mon Jun 16 11:17:17 MSK 2025","Mon Jun 16 11:17:18 MSK 2025","636","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationComparisonFields","smoke.test.Registration.RegistrationComparisonFields","step_8","step_8",""
"passed","Mon Jun 16 11:17:33 MSK 2025","Mon Jun 16 11:17:38 MSK 2025","5072","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationComparisonFields","smoke.test.Registration.RegistrationComparisonFields","examinationStep_8","examinationStep_8",""
"passed","Mon Jun 16 11:16:49 MSK 2025","Mon Jun 16 11:16:49 MSK 2025","195","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationMandatoryFields","smoke.test.Registration.RegistrationMandatoryFields","step_4","step_4",""
"passed","Mon Jun 16 11:17:27 MSK 2025","Mon Jun 16 11:17:28 MSK 2025","652","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationComparisonFields","smoke.test.Registration.RegistrationComparisonFields","examinationStep_6","examinationStep_6",""
"passed","Mon Jun 16 11:16:47 MSK 2025","Mon Jun 16 11:16:49 MSK 2025","2567","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationMandatoryFields","smoke.test.Registration.RegistrationMandatoryFields","hintsOnStep_4","hintsOnStep_4",""
"passed","Mon Jun 16 11:17:12 MSK 2025","Mon Jun 16 11:17:13 MSK 2025","861","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationComparisonFields","smoke.test.Registration.RegistrationComparisonFields","step_3","step_3",""
